name,lat,lon
Mahalchandni,22.5658983,88.3555641
Panagar,23.4453054,87.4703029
Kanksa,23.4600581,87.4628736
Debipur,,
Prayagpur,,
Anandapur,,
Silampur,21.6645129,87.6556468
Arrah,23.5030412,86.69668539999999
Paschim Gangarampur,23.5494466,87.4727791
Saora,22.8241457,87.7221872
Ratibati,23.6502954,87.03619169999999
Chatui,22.2020786,88.4626476
Kumardiha,,
Chelad,23.636894,87.0349421
Tirat,23.6183081,87.0394733
Chalbalpur,23.7405124,86.88067749999999
Jemari,23.7898243,86.8759761
Belebathan,23.6315157,87.0649239
Harabhanga,23.6195298,87.0599282
Damalia,23.6006504,87.08365289999999
Naryankuri,,
Egara,21.9001037,87.53695960000002
Amkula,23.6140526,87.08490119999999
Murgathole,23.3275584,87.13097479999999
Nimcha,23.6277784,87.0747748
Amdiha,,
Baliapur,23.778119,86.95990549999999
Manteswar,23.4215525,88.10717029999999
Lohar,23.4452979,88.1022869
Patikhaldanga,23.4454157,88.1120531
Varucha,23.4379916,88.1132737
Daukadanga,23.4351914,88.12791849999999
Patun,23.4455329,88.12181710000002
Bhurkunda,22.5236256,88.8814857
Dhenuya,22.2841782,88.3967536
Galatun,23.4634339,88.135103
Sahajadpur,24.0085658,88.47671679999999
Putshudichak,,
Purba Khanpur,22.1458908,88.1401188
Charkadanga,22.8379499,87.9739055
Kashta Kurumba,23.2913102,88.0424219
Nathpur,,
Sonakur,,
Purba Krishnapur,,
Jafrabad,,
Kendrakhattadihi,,
Bilpahari,23.7185695,87.23259759999999
Ramnagar,,
Dalurbandh,23.7122667,87.2543702
Baidyanathpur,23.7186496,87.27924089999999
Gobindapur,,
Konda,23.7146448,87.30534089999999
Deslopa,,
Dannya,23.70271,87.30285579999999
Mahal,23.1656134,87.2891854
Chakkarala,23.7052499,87.27799759999999
Jawalbhanga,,
Bhatmura,23.6886588,87.26432
Kumardihi,23.6679405,87.265862
Chakjharia,23.6531563,87.27426779999999
Shyamsundarpur,,
Chakbakla,,
Nabagram,,
Bhaluka,,
Sonepur,22.7937072,87.575423
Bajari,23.6996673,87.2145498
Haripur,,
Kumarbala,22.8383994,88.6587614
Banbahal,23.6759732,87.2195292
Hansdiha,23.6806323,87.2307309
Sankarpur,,
Chhora,23.6711343,87.1983631
Bahula,23.6552144,87.18991059999999
Paraskole,,
Sultanpur,,
Barsor,,
Sanketapur,21.6491352,87.5698638
Raghabbati,25.1703725,87.9518599
Bankpara,23.2324146,87.0786044
Chandipur,,
Pushore,,
Jotgobindapur,23.2577704,87.978803
Gobindapur,,
Bhola,24.3203521,88.06197859999999
Madna,24.5694592,88.03753139999999
Bahadurpur,,
Banior,24.3333245,87.8132139
Madhupur,,
Alalpur,23.0928809,87.8881115
Khanpur,,
Rampur,,
Amlaibahara,,
Mahulashul,23.7797309,87.65194729999999
Aulia,22.6924652,87.04118989999999
Kondaipur,23.4086154,87.5964182
Ushgram,23.8432997,87.5809815
Sahebpur,22.4117236,88.49244949999999
Bhaduliya,23.1476808,87.8062642
Bastabpur,23.8142652,87.2232634
Pashchimshibpur,22.8890065,87.7824821
Gangpur,,
Gangarampur,25.40091,88.53236059999999
Sagarbhanga,23.4953407,87.33527749999999
Madanpur,,
Bataspur,,
Hanuliya,,
Palashbuni,23.0932077,87.1067419
Tilshud,,
Keshe,,
Sukna,26.6841254,88.35064679999999
Kamalabarir Chhat,26.7776524,88.35003979999999
Khoklong chat,26.7760952,88.3427552
Choto Adalpur,,
Khoklong,26.7797131,88.3372909
Bara Adalpur,26.7839458,88.3215014
Khaprul,26.7721646,88.3215014
Patanjharar Chat,,
Fulbari Chat,26.7257431,88.4372595
Patan Chhat,26.7618412,88.3202866
Patan,26.7567509,88.32575299999999
Fulbari Patner Chhat,,
Ruhiner Chhat,,
Dhupibhita,26.5642926,88.1901046
Dohaguri-(041),26.5743508,88.1832822
Bagha-(42),22.493113,88.3772888
Deburam-(043),,
Reshep   Bazar,26.9743232,88.363434
Labda,22.9367878,86.8985386
Raganchagan,,
Simana Bustee ( D. I. Fund Area),,
Achhalal   Hatta(rang Bang Busty),,
Seeyok  Chia  Kaman,,
Gopal  Dhara  Chia  Kaman,,
Sangma  Chia  Kaman,,
Turzum  Chia  Kaman,,
Pokhribong K. M.( D. I. Fund Area),,
Molatay  Chia  Kaman,,
Nagarifarm  Chiakaman,,
Dhajia  Khasmahal,26.9078824,88.2229909
Sekrahati,22.6517952,88.0937397
Ramanathbati,22.648932,88.1035078
Pratappur Krishnabati,22.6452735,88.1090014
Paikpara,22.613223,88.3804976
Bhursit-Bamunpara,22.6353991,88.0925186
Ghanashyambati,22.5160624,87.8402405
