id,name,created_at,updated_at,name_bn
1,Sandy,2015-11-04 18:41:49.000000,2016-08-09 12:55:23.685891,বেলে
2,Sandy loam,2015-11-04 18:41:49.000000,2016-08-09 12:55:44.734050,বেলে দো-আঁশ
3,Loam,2015-11-04 18:41:49.000000,2016-08-09 12:55:59.859553,দো-আঁশ
4,Clay loam,2015-11-04 18:41:49.000000,2016-08-09 12:56:18.273072,কাদা দো-আঁশ
5,Clay,2016-03-10 05:11:16.000000,2016-08-09 12:56:36.130830,কাদা
